# time,x(N),y(E),z(D),psi,xd(N),yd(E),zd(D),psid,xdd(N),ydd(E),zdd(D),psidd
1.700000000000000178e+00,-1.904807563167526252e-01,1.487497215678702744e+00,-2.032697321313899241e+00,4.123207817434247913e-01,-1.462784864461924794e+00,-1.932667414432872877e-01,-2.707063488108142901e-01,2.277596832385084258e-01,2.427172185157479567e-01,-1.487497215678702744e+00,-2.601866247916249097e-01,-2.577004885896404945e-02
1.750000000000000000e+00,-2.632854321797707953e-01,1.475978920310905274e+00,-2.046551133173806214e+00,4.236762572039380337e-01,-1.448780500377017555e+00,-2.673690834742381561e-01,-2.833084841607154125e-01,2.264534208564840945e-01,3.173142746901161937e-01,-1.475978920310905274e+00,-2.436704782333353470e-01,-2.647976607524612710e-02
1.800000000000000044e+00,-3.352970217780649187e-01,1.460771446317292721e+00,-2.061013841141535519e+00,4.349655341112302342e-01,-1.431069389950096804e+00,-3.408031420396306910e-01,-2.950509910846156880e-01,2.251117755881692217e-01,3.909542497772073855e-01,-1.460771446317292721e+00,-2.258101752598990763e-01,-2.718534588195188964e-02
1.850000000000000089e+00,-4.063314658859202289e-01,1.441912804462949893e+00,-2.076040805866259831e+00,4.461868485387525674e-01,-1.409704285167908022e+00,-4.133853702367694116e-01,-3.058680086192480108e-01,2.237349570629073858e-01,4.634417529509106126e-01,-1.441912804462949893e+00,-2.066604592259845274e-01,-2.788667803367203546e-02
1.900000000000000133e+00,-4.762075857437826354e-01,1.419450131531121650e+00,-2.091584165532909267e+00,4.573384471789554984e-01,-1.384747624148036982e+00,-4.849343502952553342e-01,-3.156965418895943398e-01,2.223231804057920480e-01,5.345848182642636282e-01,-1.419450131531121650e+00,-1.862812009520272982e-01,-2.858365294868471865e-02
1.950000000000000178e+00,-5.447475628636578859e-01,1.393439572505803747e+00,-2.107592985500671201e+00,4.684185876172393126e-01,-1.356271346714910786e+00,-5.552712470269306477e-01,-3.244767139303338932e-01,2.208766662040536066e-01,6.041954300210881090e-01,-1.393439572505803747e+00,-1.647372136973175027e-01,-2.927616172607745704e-02
2.000000000000000000e+00,-6.117774089613245980e-01,1.363946140238522453e+00,-2.124013420293953569e+00,4.794255386042030054e-01,-1.324356683993943573e+00,-6.242202548207136381e-01,-3.321520078178264446e-01,2.193956404725931897e-01,6.720900364352766498e-01,-1.363946140238522453e+00,-1.420980507077744537e-01,-2.996409616276268784e-02
2.050000000000000266e+00,-6.771274247315139938e-01,1.331043552950062825e+00,-2.140788887439814658e+00,4.903575803261485122e-01,-1.289093922645647039e+00,-6.916090370650697094e-01,-3.386694982567607370e-01,2.178803346186681533e-01,7.380900501355509569e-01,-1.331043552950062825e+00,-1.184377859637129604e-01,-3.064734877038428201e-02
2.100000000000000089e+00,-7.406326462150826240e-01,1.294814049973310510e+00,-2.157860252603869711e+00,5.012130046737979239e-01,-1.250582144432689002e+00,-7.572691568997863554e-01,-3.439800717982671174e-01,2.163309854057353099e-01,8.020223341125852778e-01,-1.294814049973310510e+00,-9.383477880870674803e-02,-3.132581279211237024e-02
2.149999999999999911e+00,-8.021332775436016416e-01,1.255348186197746685e+00,-2.175166025436403583e+00,5.119901155091820533e-01,-1.208928941881958874e+00,-8.210364982204064743e-01,-3.480386349017010605e-01,2.147478349164570754e-01,8.637196717485058350e-01,-1.255348186197746685e+00,-6.837142319435232651e-02,-3.199938221932387833e-02
2.200000000000000178e+00,-8.614751088865553186e-01,1.212744605729385139e+00,-2.192642565501957019e+00,5.226872289306592201e-01,-1.164250110870562072e+00,-8.827516758830187271e-01,-3.508043090903367744e-01,2.131311305148764212e-01,9.230212196157571158e-01,-1.212744605729385139e+00,-4.213388232717504844e-02,-3.266795180816620126e-02
2.250000000000000000e+00,-9.185099184694137664e-01,1.167109795331881861e+00,-2.210224297629184598e+00,5.333026735360201220e-01,-1.116669321029040596e+00,-9.422604340841087556e-01,-3.522406124917635273e-01,2.114811248077669847e-01,9.797729417830722820e-01,-1.167109795331881861e+00,-1.521180955291512316e-02,-3.333141709600125763e-02
