# time,x(N),y(E),z(D),psi,xd(N),yd(E),zd(D),psid
5.000000000000000000e-01,4.892730712890720757e-02,0.000000000000000000e+00,-5.244636535644535691e-01,7.685483431805321952e-02,3.893280029296957157e-01,0.000000000000000000e+00,-1.946640014648478578e-01,6.115549969203588621e-01
5.500000000000000444e-01,7.106819557865290404e-02,0.000000000000000000e+00,-5.355340977893264798e-01,1.116336605668892951e-01,4.977294697746387220e-01,0.000000000000000000e+00,-2.488647348873193610e-01,7.818316228595740824e-01
6.000000000000000888e-01,9.880866000000212979e-02,0.000000000000000000e+00,-5.494043300000011065e-01,1.552082801835292514e-01,6.126151500000143191e-01,0.000000000000000000e+00,-3.063075750000071595e-01,9.622936273589273171e-01
6.500000000000000222e-01,1.323641613750868307e-01,0.000000000000000000e+00,-5.661820806875433876e-01,2.079171384872732231e-01,7.295567651848015034e-01,0.000000000000000000e+00,-3.647783825924007517e-01,1.145985086940652486e+00
7.000000000000000666e-01,1.717192855273476371e-01,0.000000000000000000e+00,-5.858596427636738602e-01,2.697360229462016923e-01,8.437934654297087889e-01,0.000000000000000000e+00,-4.218967327148543944e-01,1.325427676070523475e+00
7.500000000000000000e-01,2.166180163621951871e-01,0.000000000000000000e+00,-6.083090081810975658e-01,3.402627844193331641e-01,9.505078196525820200e-01,0.000000000000000000e+00,-4.752539098262910100e-01,1.493054191700103450e+00
8.000000000000000444e-01,2.665676800000064683e-01,0.000000000000000000e+00,-6.332838400000032619e-01,4.187235325862477264e-01,1.045094400000029733e+00,0.000000000000000000e+00,-5.225472000000148665e-01,1.641630444673965572e+00
8.500000000000000888e-01,3.208558665092166584e-01,0.000000000000000000e+00,-6.604279332546083570e-01,5.039992165432716220e-01,1.123408363451418035e+00,0.000000000000000000e+00,-5.617041817257090175e-01,1.764645730800157075e+00
9.000000000000000222e-01,3.785790545507910498e-01,0.000000000000000000e+00,-6.892895272753954972e-01,5.946705882898678519e-01,1.181983371679722339e+00,0.000000000000000000e+00,-5.909916858398611694e-01,1.856655138567162133e+00
9.500000000000000666e-01,4.386811797482800257e-01,0.000000000000000000e+00,-7.193405898741400684e-01,6.890787857826503604e-01,1.218210128221932420e+00,0.000000000000000000e+00,-6.091050641109662100e-01,1.913559994675357201e+00
1.000000000000000000e+00,5.000000000000137668e-01,0.000000000000000000e+00,-7.500000000000068834e-01,7.853981633974704835e-01,1.230468750000042633e+00,0.000000000000000000e+00,-6.152343750000213163e-01,1.932815792735983251e+00
